"gutenberg_author_id","author","gender","nationality","birthdate","deathdate","link","generation"
180,"Muir, John","M","American",1838,1914,"http://en.wikipedia.org/wiki/John_Muir","Gilded "
1447,"Muir, Ramsay","M","British",1872,1941,"http://en.wikipedia.org/wiki/Ramsay_Muir",NA
25575,"Mukerji, Dhan Gopal","M","Indian",1890,1936,"http://en.wikipedia.org/wiki/Dhan_Gopal_Mukerji",NA
962,"Mulford, Clarence Edward","M","American",1883,1956,"http://en.wikipedia.org/wiki/Clarence_E._Mulford","Lost "
1481,"Mundy, Talbot","M","British",1879,1940,"http://en.wikipedia.org/wiki/Talbot_Mundy",NA
1530,"Munro, William Bennett","M","Canadian",1875,1957,"http://en.wikipedia.org/wiki/William_B._Munro",NA
1480,"Munroe, Kirk","M","American",1850,1930,"http://en.wikipedia.org/wiki/Kirk_Munroe","Progressive "
1759,"Murfree, Mary Noailles","F","American",1850,1922,"http://en.wikipedia.org/wiki/Mary_Noailles_Murfree","Progressive "
6197,"Murger, Henri","M","French",1822,1861,"http://en.wikipedia.org/wiki/Henri_Murger",NA
42878,"Murison, Alexander Falconer","M","Greek",1847,1934,"https://en.wikipedia.org/wiki/Alexander_Falconer_Murison",NA
1749,"Murphy, Henry Cruse","M","American",1810,1882,"http://en.wikipedia.org/wiki/Henry_Cruse_Murphy","Transcendental "
1681,"Murray, Gilbert","M","British",1866,1957,"http://en.wikipedia.org/wiki/Gilbert_Murray",NA
4072,"Murray, James Augustus Henry, Sir","M","Scottish",1837,1915,"http://en.wikipedia.org/wiki/James_Murray_(lexicographer)",NA
35449,"Mushanokoji, Saneatsu","M","Japanese",1885,1976,"http://en.wikipedia.org/wiki/Saneatsu_Mushanok%C5%8Dji",NA
3504,"Musick, John R. (John Roy)","M","American",1849,1901,"http://en.wikipedia.org/wiki/John_R._Musick","Progressive "
37187,"Musil, Robert","M","German",1880,1942,"http://en.wikipedia.org/wiki/Robert_Musil",NA
1341,"Musset, Alfred de","M","French",1810,1857,"http://en.wikipedia.org/wiki/Alfred_de_Musset",NA
5569,"Musset, Paul de","M","French",1804,1880,"http://en.wikipedia.org/wiki/Paul_de_Musset",NA
8802,"Mussey, R. D. (Reuben Dimond)","M","American",1780,1866,"http://en.wikipedia.org/wiki/Reuben_Dimond_Mussey","Compromise "
39025,"Muybridge, Eadweard","M","British",1830,1904,"http://en.wikipedia.org/wiki/Eadweard_Muybridge",NA
40728,"Myddleton, W. H. (William Henry)","M","British",1873,1950,"https://en.wikipedia.org/wiki/Arnold_Safroni-Middleton",NA
